Name,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,BIP,BABIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,좌%,좌중%,중%,우중%,우%,당%,밀%,좌,좌중,중,우중,우,당,밀,좌_안타,좌중_안타,중_안타,우중_안타,우_안타,당_안타,밀_안타,좌_안타비율,좌중안타비율,중안타비율,우중안타비율,우안타비율,당안타비율,밀안타비율
켈리,14,14,0,1,1,0,3,7,0,0,82.2,48,55,55.00,365,99,13,0,13,17,5,0,53,3,0,7,5.23,5.99,5.99,6.09,5.29,1.40,0.81,272,0.316,42.8,4.1,47.9,52.1,5.2,0.8,8.6,7.1,20.4,21.5,14.9,21.5,21.8,65.2,34.8,59,62,43,62,63,161,86,20,20,14,14,31,67,18,0.339,0.323,0.326,0.226,0.492,0.416,0.209
신민혁,14,14,0,0,0,0,5,4,0,0,71.0,32,36,33.75,307,88,16,2,10,5,2,0,45,3,0,1,4.06,4.56,4.28,4.34,4.60,1.31,1.75,245,0.318,31.4,9.0,56.5,65.5,3.1,0.5,6.0,5.7,23.4,17.9,16.3,21.4,21.0,62.6,37.4,59,45,41,54,53,132,79,21,17,12,11,27,60,16,0.356,0.378,0.293,0.204,0.509,0.455,0.203
박세웅,14,14,0,0,0,0,5,5,0,0,78.0,45,52,50.60,349,93,19,0,5,23,5,0,54,7,0,6,5.19,6.00,5.84,5.63,4.35,1.49,1.35,262,0.336,53.2,3.0,41.9,44.9,1.9,1.2,4.2,1.1,19.9,18.0,17.7,20.3,24.1,64.8,35.2,53,48,47,54,64,142,77,25,15,18,12,23,49,26,0.472,0.313,0.383,0.222,0.359,0.345,0.338
엄상백,14,14,0,0,0,0,5,7,0,0,75.0,42,44,44.00,323,80,15,1,13,21,1,0,86,0,0,1,5.04,5.28,5.28,5.12,4.31,1.35,1.44,199,0.337,39.5,7.0,50.7,57.7,2.8,0.7,10.5,8.8,21.5,15.0,22.0,20.6,21.0,62.5,37.5,46,32,47,44,45,105,63,16,11,18,11,23,42,20,0.348,0.344,0.383,0.250,0.511,0.400,0.317
김광현,14,14,0,0,0,0,5,4,0,0,72.2,38,38,37.65,308,70,12,0,11,29,2,0,71,2,0,4,4.71,4.71,4.66,4.53,4.88,1.36,1.92,195,0.303,48.5,3.9,44.7,48.5,2.9,1.0,11.0,5.7,20.9,22.8,18.0,23.3,15.0,65.1,34.9,43,47,37,48,31,110,59,19,15,11,11,14,41,18,0.442,0.319,0.297,0.229,0.452,0.373,0.305
헤이수스,14,14,0,0,0,0,7,4,0,0,79.1,31,33,31.80,331,70,16,1,8,23,7,0,78,3,0,3,3.52,3.74,3.61,3.72,4.12,1.17,2.70,213,0.291,48.0,4.9,44.4,49.3,2.7,1.0,7.3,11.4,22.9,17.0,17.5,21.1,21.5,57.1,42.9,51,38,39,47,48,105,79,23,14,12,8,13,34,24,0.451,0.368,0.308,0.170,0.271,0.324,0.304
양현종,14,14,0,1,1,0,5,3,0,0,86.2,36,38,35.95,362,84,17,3,9,19,4,0,62,5,0,1,3.74,3.95,3.73,3.82,4.47,1.19,2.93,266,0.282,40.1,4.7,50.9,55.6,4.3,0.7,5.8,3.6,24.4,21.8,14.5,18.2,21.1,60.2,39.8,67,60,40,50,58,142,94,23,16,15,13,17,45,24,0.343,0.267,0.375,0.260,0.293,0.317,0.255
레예스,14,14,0,0,0,0,7,3,0,0,74.2,33,35,33.25,326,89,10,2,6,14,3,0,63,2,0,1,3.98,4.22,4.01,3.87,3.75,1.38,1.89,239,0.347,49.6,4.9,43.1,48.0,2.4,1.0,5.1,12.4,19.3,18.1,20.2,21.4,21.0,60.8,39.2,47,44,49,52,51,118,76,20,14,22,13,20,39,28,0.426,0.318,0.449,0.250,0.392,0.331,0.368
박윤성,14,0,14,6,0,0,0,0,0,1,15.2,9,9,9.70,66,10,4,0,4,7,0,0,11,2,0,1,5.17,5.17,5.57,5.60,6.87,1.09,0.14,43,0.140,22.9,6.3,60.4,66.7,10.4,0.3,12.5,0.0,31.9,19.1,21.3,14.9,12.8,48.6,51.4,15,9,10,7,6,18,19,4,3,1,1,1,6,3,0.267,0.333,0.100,0.143,0.167,0.333,0.158
이준호,14,1,13,4,0,0,2,3,0,0,15.2,11,11,11.35,75,20,2,0,2,9,1,0,11,0,0,0,6.32,6.32,6.52,6.70,5.94,1.85,-0.02,51,0.353,55.6,1.9,40.7,42.6,1.9,1.3,8.7,10.0,20.8,28.3,24.5,13.2,13.2,55.0,45.0,11,15,13,7,7,22,18,6,3,4,1,6,11,5,0.545,0.200,0.308,0.143,0.857,0.500,0.278
