Name,Team,Position,Pitching/Batting Style,Birth
김호준 (Ho-Jun Kim),두산,P,좌투좌타,"생년월일 :
1998년 05월 17일"
양현 (Hyeon Yang),삼성,P,우언우타,"생년월일 :
1992년 08월 23일"
김서현 (Seo-Hyeon Kim),한화,P,우투우타,"생년월일 :
2004년 05월 31일"
현도훈 (Do-Hoon Hyun),롯데,P,우투좌타,"생년월일 :
1993년 01월 13일"
임정호 (Jung-Ho Lim),NC,P,좌투좌타,"생년월일 :
1990년 04월 16일"
최민준 (Min-Jun Choi),SSG,P,우투우타,"생년월일 :
1999년 06월 11일"
배재환 (Jae-Hwan Bae),NC,P,우투우타,"생년월일 :
1995년 02월 24일"
임기영 (Gi-Yeong Im),KIA,P,우언우타,"생년월일 :
1993년 04월 16일"
박치국 (Chi-Guk Park),두산,P,우언우타,"생년월일 :
1998년 03월 10일"
박정수 (Jung-Su Park),두산,P,우언좌타,"생년월일 :
1996년 01월 29일"
강건 (Geon Kang),KT,P,우투우타,"생년월일 :
2004년 07월 12일"
최우석 (Woo-suk Choi),NC,P,우투우타,"생년월일 :
2005년 03월 31일"
박세진 (Se-Jin Park),KT,P,좌투좌타,"생년월일 :
1997년 06월 27일"
김도규 (Do-Gyu Kim),롯데,P,우투우타,"생년월일 :
1998년 07월 11일"
이인복 (In-Bok Lee),롯데,P,우투우타,"생년월일 :
1991년 06월 18일"
정철원 (Cheol-Won Jeong),두산,P,우투우타,"생년월일 :
1999년 03월 27일"
홍원표 (Won-Pyo Hong),삼성,P,우투우타,"생년월일 :
2001년 03월 27일"
서의태 (Eui-Tae Seo),NC,P,좌투좌타,"생년월일 :
1997년 09월 05일"
김도윤 (Do-Yoon Kim),두산,P,우투좌타,"생년월일 :
2002년 06월 28일"
정찬헌 (Chan-Heon Jeong),키움,P,우투우타,"생년월일 :
1990년 01월 26일"
최하늘 (Ha-Neul Choi),삼성,P,우언우타,"생년월일 :
1999년 03월 26일"
정현수 (Hyeon-su Jeong),,P,좌투좌타,"생년월일 :
2001년 05월 10일"
홍민기 (Min-Ki Hong),롯데,P,좌투좌타,"생년월일 :
2001년 07월 20일"
서진용 (Jin-Yong Seo),SSG,P,우투우타,"생년월일 :
1992년 10월 02일"
유승철 (Seung-Chul Yoo),KIA,P,우투양타,"생년월일 :
1998년 03월 02일"
장필준 (Pil-Joon Jang),삼성,P,우투우타,"생년월일 :
1988년 04월 08일"
김동규 (Dong-Gyu Kim),키움,P,우투우타,"생년월일 :
2004년 07월 09일"
최현석 (Hyun-suk Choi),,P,우투우타,"생년월일 :
2003년 10월 16일"
송재영 (Jae-Young Song),롯데,P,좌투좌타,"생년월일 :
2002년 06월 20일"
이채호 (Chae-Ho Lee),KT,P,우언우타,"생년월일 :
1998년 11월 23일"
배민서 (Min-Seo Bae),한화,P,우언우타,"생년월일 :
1999년 11월 18일"
김대유 (Dae-Yu Kim),KIA,P,좌투좌타,"생년월일 :
1991년 05월 08일"
김민재 (Min-jae Kim),KIA,P,우투우타,"생년월일 :
2003년 07월 08일"
홍정우 (Joung-Woo Hong),삼성,P,우투우타,"생년월일 :
1996년 03월 16일"
채원후 (Chae Wonhu),NC,P,우투좌타,"생년월일 :
1995년 07월 11일"
이호성 (Ho-Seong Lee),삼성,P,우투우타,"생년월일 :
2004년 08월 14일"
김도현 (Do-Hyun Kim),KIA,P,우투우타,"생년월일 :
2000년 09월 15일"
최종인 (Jong-In Choi),두산,P,우투우타,"생년월일 :
2001년 05월 01일"
김현수 (Hyun-Soo Kim),KIA,P,우투우타,"생년월일 :
2000년 07월 10일"
박승주 (Seung-Ju Park),키움,P,우투우타,"생년월일 :
1994년 02월 12일"
강효종 (Hyo-Jong Kang),LG,P,우투우타,"생년월일 :
2002년 10월 14일"
이준호 (Jun-Ho Lee),NC,P,우투우타,"생년월일 :
2000년 03월 27일"
김진수 (Jin-Su Kim),LG,P,우투우타,"생년월일 :
1998년 08월 31일"
김영현 (Yeong-Hyeon Kim),KT,P,우투우타,"생년월일 :
2002년 08월 18일"
이상민 (Sang-Min Lee),삼성,P,좌투좌타,"생년월일 :
1990년 11월 04일"
이용준 (Yong-Jun Lee),NC,P,우투우타,"생년월일 :
2002년 05월 08일"
이충호 (Chung-Ho Lee),한화,P,좌투좌타,"생년월일 :
1994년 09월 20일"
김윤식 (Yun-Sik Kim),LG,P,좌투좌타,"생년월일 :
2000년 04월 03일"
이명종 (Myeong-Jong Lee),키움,P,우투우타,"생년월일 :
2002년 12월 05일"
최이준 (Yi-Jun Choi),롯데,P,우투우타,"생년월일 :
1999년 04월 10일"
박소준 (So-Joon Park),두산,P,우투우타,"생년월일 :
1995년 01월 21일"
알드레드 (Cam Alldred),,P,좌투좌타,"생년월일 :
1996년 07월 25일"
김연주 (Yeon-ju Kim),키움,P,우투우타,"생년월일 :
2004년 02월 27일"
육선엽 (SUN-YEOP YOOK),,P,우투우타,"생년월일 :
2005년 07월 13일"
손현기 (Hyun-gi Son),,P,좌투좌타,"생년월일 :
2005년 10월 22일"
나균안 (Gyun-An Na),롯데,P,우투우타,"생년월일 :
1998년 03월 16일"
원상현 (Sang-hyun Won),KT,P,우투우타,"생년월일 :
2004년 10월 16일"
오석주 (Seok-Ju Oh),키움,P,우투우타,"생년월일 :
1998년 04월 14일"
박상원 (Sang-Won Park),한화,P,우투우타,"생년월일 :
1994년 09월 09일"
최성훈 (Sung-Hoon Choi),삼성,P,좌투좌타,"생년월일 :
1989년 10월 11일"
전용주 (Yong-Joo Jeon),KT,P,좌투좌타,"생년월일 :
2000년 02월 12일"
이형범 (Hyung-Beom Lee),KIA,P,우투우타,"생년월일 :
1994년 02월 27일"
이재익 (Jae-Ik Lee),삼성,P,좌투좌타,"생년월일 :
1994년 03월 18일"
김민수 (Min-Su Kim),KT,P,우투우타,"생년월일 :
1992년 07월 24일"
백승현 (Seung-Hyun Baek),LG,P,우투우타,"생년월일 :
1995년 05월 26일"
이교훈 (Kyo-Hoon Lee),두산,P,좌투좌타,"생년월일 :
2000년 05월 29일"
전준표 (Jun-pyo Jun),키움,P,우투우타,"생년월일 :
2005년 05월 07일"
정지헌 (Ji-heon Jung),LG,P,우투우타,"생년월일 :
2003년 01월 01일"
김주온 (Joo-On Kim),SSG,P,우투우타,"생년월일 :
1996년 12월 08일"
박준표 (Joon-Pyo Park),KIA,P,우언우타,"생년월일 :
1992년 06월 26일"
성재헌 (Jae-Heon Sung),KT,P,좌투좌타,"생년월일 :
1997년 12월 22일"
김태현 (Tae-Heon Kim),NC,P,좌투좌타,"생년월일 :
1998년 03월 21일"
임상현 (Sang-hyeon Im),NC,P,우투우타,"생년월일 :
2005년 07월 16일"
김동혁 (Dong-Hyeok Kim),,P,우언우타,"생년월일 :
2001년 12월 27일"
장지수 (Ji-Soo Jang),한화,P,우투우타,"생년월일 :
2000년 05월 25일"
김사윤 (Sa-Yun Kim),KIA,P,좌투좌타,"생년월일 :
1994년 06월 08일"
윤대경 (Dae-Kyung Yun),한화,P,우투우타,"생년월일 :
1994년 04월 09일"
신영우 (Young-Woo Shin),NC,P,우투우타,"생년월일 :
2004년 04월 21일"
이믿음 (Mit-Eum Lee),LG,P,우투우타,"생년월일 :
2000년 07월 18일"
조이현 (Yi-Hyeon Jo),KT,P,우투좌타,"생년월일 :
1995년 06월 27일"
김윤하 (Yoon-ha Kim),,P,우투우타,"생년월일 :
2005년 03월 07일"
한차현 (Cha-Hyeon Han),KT,P,우투우타,"생년월일 :
1998년 11월 30일"
