Name,Team,Position,Pitching/Batting Style,Birth
류효승 (Hyo-Seung Ryu),SSG,LF,우투우타,"생년월일 :
1996년 07월 16일"
서예일 (Ye-Il Seo),두산,SS,우투양타,"생년월일 :
1993년 06월 19일"
김규성 (Kyu-Sung Kim),KIA,2B,우투좌타,"생년월일 :
1997년 03월 08일"
박성빈 (Sung-Bin Park),키움,C,우투우타,"생년월일 :
2004년 04월 21일"
김창평 (Chang-Pyeong Kim),SSG,CF,우투좌타,"생년월일 :
2000년 06월 14일"
강진성 (Jin-Sung Kang),SSG,C,우투우타,"생년월일 :
1993년 10월 19일"
김호진 (HO-JIN KIM),,2B,우투우타,"생년월일 :
2005년 07월 16일"
이학주 (Hak-Ju Lee),롯데,SS,우투좌타,"생년월일 :
1990년 11월 04일"
원성준 (Seong-jun Won),키움,CF,우투좌타,"생년월일 :
2000년 03월 31일"
송민섭 (Min-Seop Song),KT,RF,우투우타,"생년월일 :
1991년 08월 02일"
채은성 (Eun-Seong Chae),한화,RF,우투우타,"생년월일 :
1990년 02월 06일"
윤준호 (Jun-Ho Yoon),두산,C,우투우타,"생년월일 :
2000년 11월 14일"
김세훈 (Se-hun Kim),NC,2B,우투우타,"생년월일 :
2005년 04월 04일"
임병욱 (Byeong-Wook Lim),키움,CF,우투좌타,"생년월일 :
1995년 09월 30일"
이명기 (Myung-Ki Lee),한화,LF,좌투좌타,"생년월일 :
1987년 12월 26일"
유로결 (Ro-Kyeol Yoo),한화,LF,우투우타,"생년월일 :
2000년 05월 30일"
한승택 (Seung-Taek Han),KIA,C,우투우타,"생년월일 :
1994년 06월 21일"
김태우 (Tae-Woo Kim),LG,2B,우투우타,"생년월일 :
1997년 10월 19일"
이승원 (Seung-Won Lee),키움,2B,우투우타,"생년월일 :
2004년 07월 02일"
안치영 (Chi-Young An),KT,2B,우투좌타,"생년월일 :
1998년 05월 29일"
박정우 (Jeong-Woo Park),KIA,CF,좌투좌타,"생년월일 :
1998년 02월 01일"
김건형 (Geon-Hyeong Kim),KT,LF,우투좌타,"생년월일 :
1996년 07월 12일"
김재성 (Jae-Seong Kim),삼성,C,우투좌타,"생년월일 :
1996년 10월 30일"
김동헌 (Dong-Heon Kim),키움,C,우투우타,"생년월일 :
2004년 07월 15일"
김웅빈 (Woong-Bin Kim),키움,SS,우투좌타,"생년월일 :
1996년 02월 09일"
김민수 (Min-Su Kim),LG,3B,우투우타,"생년월일 :
1998년 03월 18일"
박주홍 (Ju-Hong Park),키움,LF,좌투좌타,"생년월일 :
2001년 04월 16일"
공민규 (Min-Kyu Kong),삼성,1B,우투좌타,"생년월일 :
1999년 09월 27일"
홍현빈 (Hyun-Bin Hong),KT,RF,우투좌타,"생년월일 :
1997년 08월 29일"
장진혁 (Jin-Hyuk Jang),한화,CF,우투좌타,"생년월일 :
1993년 09월 30일"
김성윤 (Seong-Yun Kim),삼성,LF,좌투좌타,"생년월일 :
1999년 02월 02일"
김동진 (Dong-Jin Kim),삼성,2B,우투좌타,"생년월일 :
1996년 12월 18일"
김인환 (In-Hwan Kim),한화,1B,우투좌타,"생년월일 :
1994년 01월 28일"
한유섬 (Yu-Seom Han),SSG,RF,우투좌타,"생년월일 :
1989년 08월 09일"
박승욱 (Seung-Wook Park),롯데,SS,우투좌타,"생년월일 :
1992년 12월 04일"
안주형 (Joo-Hyung An),삼성,2B,우투좌타,"생년월일 :
1993년 08월 14일"
정준영 (Jun-Young Jung),KT,LF,좌투좌타,"생년월일 :
2004년 01월 26일"
정현승 (Hyun-seung Jung),,RF,좌투좌타,"생년월일 :
2001년 01월 24일"
변우혁 (Woo-Hyuk Byun),KIA,1B,우투우타,"생년월일 :
2000년 03월 18일"
김태진 (Tae-Jin Kim),키움,CF,우투좌타,"생년월일 :
1995년 10월 07일"
조형우 (Hyeong-Woo Cho),SSG,C,우투우타,"생년월일 :
2002년 04월 04일"
유강남 (Kang-Nam Yoo),롯데,C,우투우타,"생년월일 :
1992년 07월 15일"
박준형 (Jun-Hyeong Park),키움,C,우투우타,"생년월일 :
1999년 03월 07일"
임종찬 (Jong-Chan Lim),한화,RF,우투좌타,"생년월일 :
2001년 09월 28일"
한석현 (Seok-Hyun Han),NC,LF,좌투좌타,"생년월일 :
1994년 05월 17일"
김찬형 (Chan-Hyung Kim),SSG,SS,우투우타,"생년월일 :
1997년 12월 29일"
하주석 (Joo-Seok Ha),한화,SS,우투좌타,"생년월일 :
1994년 02월 25일"
최항 (Hang Choi),롯데,3B,우투좌타,"생년월일 :
1994년 01월 03일"
김현준 (Hyun-Jun Kim),삼성,CF,좌투좌타,"생년월일 :
2002년 10월 11일"
김재현 (Jae-Hyun Kim),키움,C,우투우타,"생년월일 :
1993년 03월 18일"
강한울 (Han-Wool Kang),삼성,SS,우투좌타,"생년월일 :
1991년 09월 12일"
김재호 (Jae-Ho Kim),두산,SS,우투우타,"생년월일 :
1985년 03월 21일"
허도환 (Do-Hwan Heo),LG,C,우투우타,"생년월일 :
1984년 07월 31일"
이주찬 (Ju-Chan Lee),롯데,2B,우투우타,"생년월일 :
1998년 09월 21일"
김민석 (Min-Suk Kim),롯데,CF,우투좌타,"생년월일 :
2004년 05월 09일"
박계범 (Gye-Beom Park),두산,SS,우투우타,"생년월일 :
1996년 01월 11일"
안상현 (Sang-Hyun Ahn),SSG,2B,우투우타,"생년월일 :
1997년 01월 27일"
김인태 (In-Tae Kim),두산,RF,좌투좌타,"생년월일 :
1994년 07월 03일"
정보근 (Bo-Keun Jeong),롯데,C,우투우타,"생년월일 :
1999년 08월 31일"
천재환 (Jae-Hwan Cheon),NC,CF,우투우타,"생년월일 :
1994년 04월 01일"
문현빈 (Hyun-Bin Moon),한화,CF,우투좌타,"생년월일 :
2004년 04월 20일"
이호연 (Ho-Yeon Lee),KT,2B,우투좌타,"생년월일 :
1995년 06월 03일"
김대한 (Dae-Han Kim),두산,CF,우투우타,"생년월일 :
2000년 12월 06일"
한동희 (Dong-Hee Han),롯데,3B,우투우타,"생년월일 :
1999년 06월 01일"
예진원 (Jin-Won Ye),키움,CF,좌투좌타,"생년월일 :
1999년 03월 16일"
이원석 (Won-Seok Lee),키움,3B,우투우타,"생년월일 :
1986년 10월 21일"
노진혁 (Jin-Hyuk Roh),롯데,SS,우투좌타,"생년월일 :
1989년 07월 15일"
김태근 (Tae-Geun Kim),두산,LF,우투우타,"생년월일 :
1996년 08월 10일"
박수종 (Soo-Jong Park),키움,CF,우투우타,"생년월일 :
1999년 02월 25일"
전의산 (Ui-San Jeon),SSG,1B,우투좌타,"생년월일 :
2000년 11월 25일"
임지열 (Ji-Yeol Lim),키움,3B,우투우타,"생년월일 :
1995년 08월 22일"
조용호 (Yong-Ho Cho),KT,LF,우투좌타,"생년월일 :
1989년 09월 09일"
오재일 (Jae-Il Oh),KT,1B,좌투좌타,"생년월일 :
1986년 10월 29일"
이재상 (Jae-sang Lee),,SS,우투우타,"생년월일 :
2005년 04월 17일"
하재훈 (Jae-Hoon Ha),SSG,P,우투우타,"생년월일 :
1990년 10월 29일"
최주환 (Joo-Hwan Choi),키움,3B,우투좌타,"생년월일 :
1988년 02월 28일"
